HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000142611.17,3,0,3,1,1,0,0,1,1,8
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,0,0,0
ENSG00000287828.1,0,0,0,0,0,0,0,0,0,0
ENSG00000286518.1,0,0,0,0,0,0,7,0,0,0
ENSG00000130762.15,5,0,0,0,1,1,0,0,1,3
ENSG00000272088.1,1,0,0,0,0,0,1,2,3,0
ENSG00000162591.17,1140,887,1279,801,794,1008,670,1589,1819,1425
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0
ENSG00000238260.3,10,29,44,71,12,34,7,22,89,36
ENSG00000158109.15,1437,1368,1569,2073,1618,1549,1197,1150,1299,1229
ENSG00000116213.16,633,587,873,711,770,747,483,942,766,802
ENSG00000078900.16,3,2,36,4,5,7,0,3,9,3
ENSG00000227589.1,0,0,3,0,0,1,0,6,0,0
ENSG00000235131.1,0,0,0,0,0,0,0,0,0,0
ENSG00000293478.1,360,185,341,142,334,308,284,371,394,416
ENSG00000276189.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.13,0,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,0,4,0,0,0,0,0,0,0,0
ENSG00000235169.11,83,1544,887,546,672,387,75,136,5,474
ENSG00000130764.10,743,803,847,681,862,790,832,868,768,817
ENSG00000266075.2,0,2,1,0,1,2,0,1,7,6
ENSG00000272153.1,12,46,45,18,27,50,25,58,48,59
ENSG00000116198.14,605,431,469,224,615,743,848,769,684,775
ENSG00000169598.17,264,161,242,216,287,355,234,331,401,316
ENSG00000198912.12,586,371,387,332,464,606,818,567,568,457
ENSG00000236423.8,12,12,23,9,19,7,10,13,8,17
ENSG00000233304.7,0,0,0,0,0,0,0,0,0,1
ENSG00000226374.3,0,0,0,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284703.1,1,0,0,0,0,1,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,1,0,0,0,0
