HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,0,0,0
ENSG00000287828.1,0,0,0,0,0,0,0,0,0,0
ENSG00000286518.1,0,0,0,0,0,0,0,0,0,0
ENSG00000130762.15,0,0,0,0,3,0,0,3,0,0
ENSG00000272088.1,0,0,6,0,0,0,1,0,0,0
ENSG00000162591.17,733,338,973,271,581,926,1066,1049,1488,820
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0
ENSG00000238260.3,18,8,28,19,7,35,8,27,57,16
ENSG00000158109.15,809,453,960,548,1069,908,838,505,1016,662
ENSG00000116213.16,388,199,481,220,545,518,496,438,522,396
ENSG00000078900.16,4,1,32,0,2,7,18,3,4,4
ENSG00000227589.1,0,0,0,0,0,1,0,0,0,0
ENSG00000235131.1,0,1,4,0,0,0,0,0,0,0
ENSG00000293478.1,196,67,183,63,270,181,259,207,382,235
ENSG00000276189.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.13,0,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,0,1,0,0,0,0,0,0,1,0
ENSG00000235169.11,50,746,385,110,456,328,397,79,4,294
ENSG00000130764.10,414,288,505,199,558,497,606,431,565,384
ENSG00000266075.2,6,4,0,1,0,5,0,0,2,0
ENSG00000272153.1,14,7,18,8,17,22,14,14,20,32
ENSG00000116198.14,434,141,412,130,473,556,484,408,538,458
ENSG00000169598.17,144,62,134,44,179,198,216,158,281,169
ENSG00000198912.12,347,138,230,117,306,334,450,231,374,236
ENSG00000236423.8,3,5,3,8,8,4,1,10,22,17
ENSG00000233304.7,0,0,0,0,0,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0,0,1,0,0
ENSG00000284668.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284703.1,0,0,0,0,0,0,1,0,0,0
ENSG00000229280.1,0,0,1,0,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0,0,0
ENSG00000196581.11,3,4,9,8,1,4,0,7,6,0
ENSG00000287586.1,17,41,62,13,5,14,9,45,5,26
ENSG00000284739.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,7,0,0,2,2,2,1,3
ENSG00000264341.1,0,0,1,0,0,0,0,0,0,0
ENSG00000289893.1,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0,0,1,0
ENSG00000131697.18,157,77,158,50,167,159,187,171,247,195
ENSG00000069424.16,2773,1106,3406,818,3740,3242,2985,2424,3626,2689
ENSG00000116254.18,2,4,7,5,24,12,14,7,25,4
ENSG00000285629.1,0,0,0,0,0,0,0,0,0,0
ENSG00000116251.11,922,373,800,460,1095,872,1201,793,1366,785
ENSG00000226944.1,0,0,0,0,0,0,3,0,0,0
ENSG00000158286.13,20,11,51,7,39,36,65,45,71,61
ENSG00000116237.16,272,112,240,112,336,243,278,204,337,267
ENSG00000225077.3,1,0,0,0,0,0,0,1,1,0
ENSG00000173673.9,0,0,0,0,0,0,0,0,0,0
ENSG00000158292.7,49,8,29,6,85,53,54,10,28,43
ENSG00000097021.21,51,15,44,20,76,81,85,29,47,43
ENSG00000271746.1,0,0,1,0,0,0,0,0,2,1
ENSG00000069812.11,0,0,0,0,0,0,0,0,2,0
ENSG00000187017.18,180,1069,281,371,735,1110,86,464,399,211
ENSG00000265392.1,0,0,0,0,0,0,0,0,4,0
ENSG00000231868.1,0,0,0,0,0,0,0,0,1,0
ENSG00000215788.11,784,358,900,366,386,786,956,971,1594,838
ENSG00000171680.23,40,19,32,25,32,22,57,64,88,72
ENSG00000162408.11,313,130,304,138,267,278,401,309,563,376
ENSG00000253022.1,0,0,1,0,0,0,0,0,0,0
ENSG00000229519.2,8,1,7,0,0,6,7,4,16,6
ENSG00000173662.21,1,0,11,0,3,1,10,0,4,3
ENSG00000204859.13,517,214,604,233,598,622,572,583,658,524
ENSG00000162413.17,823,486,1009,323,815,1047,739,685,1248,881
ENSG00000116273.6,180,105,91,58,240,192,187,111,175,140
ENSG00000041988.16,93,40,96,71,134,82,109,85,136,106
ENSG00000007923.17,279,101,279,55,283,352,392,245,463,310
ENSG00000228750.7,0,0,0,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0,0,1,0,0
ENSG00000237436.1,0,1,4,0,1,1,1,7,0,0
ENSG00000171735.21,320,71,146,81,138,127,142,127,172,87
ENSG00000227950.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,0,0,0,0,0,0,1,0
ENSG00000237728.2,0,0,0,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0,0,0,0
